Country (In thousand 60kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,3240.141,2831.985,3327.988,3750.687,3274.069,3700.872001,3978.998,4243.882,3541.853,4680.601,4851.59185,4110.378,3491.328,3820.8,3309.581,3465.79332,3312.109231,3726.166958,3777.590202,3492.821987,3468.087678,3696.825498,3750.112536,3575.011397,3043.438535,2960.862008,2991.120758,3382.666191,3327.489656,3613.187992
Guinea,121.696,61.447,57.52,15.469,50.4670001,151.5520001,32.43,114.344,228.18,300.7939999,292.1529999,355.8079999,135.7669999,354.647,296.202,279.4150001,518.9227253,435.6941632,208.1745163,438.7856007,405.5585284,384.5238255,377.2035436,134.2771324,24.1208056,151.692689,250.0291659,215.6914713,156.5050078,68.9079607
Guyana,0.1999992,0.4219976,0.538998,0.0529992,0.4029972,0.0259992,0.3375579,0.3232662,0.2283018,1.4093593,0.5136147,1.1471951,1.0699356,0.778369,0.6408565,0.5278055,1.7099359,1.9134498,1.5186997,1.3673275,0.8025006,0.5902795,1.7670196,1.1103907,12.5399127,1.9760867,1.9671328,0.8115381,1.1789453,0.6464431
Haiti,191.445,150.673,165.976,158.542,103.468,151.788,156.468,100.776,127.306,71.841,72.858,86.668,41.182,37.0220001,32.0559998,25.0990003,23.7869002,20.8177303,17.2008609,15.9158744,8.7403186,8.6211063,11.0616719,8.2794708,3.1414734,2.6611461,1.2770179,1.886211,2.0191244,1.8611867
Honduras,1735.093,1444.363,1960.071,1705.317,1718.185,1795.963,2059.76,1722.482,2329.274,1986.603,2878.56,2391.613,2711.26,2425.237,2779.189,2391.90535,2898.414437,3312.008563,3259.454951,3084.187828,3349.397639,3947.141151,5507.984939,4185.118924,4251.826667,5029.667006,5305.953308,7340.843952,7143.884471,6764.564607
India,1979.147999,1727.358999,1816.341,2101.593,2496.085,2467.257001,3103.176,2640.111001,3486.830003,3621.958999,4228.78785,3729.701001,3550.129999,3707.066002,3647.336521,2828.932425,3578.275087,3319.405666,3376.668665,3006.562463,4647.281111,5414.010577,5043.961929,5032.638529,5130.91427,5262.293887,6086.119737,6541.501049,5967.224604,6027.861152
Indonesia,6903.226999,6170.796,4603.696,5662.094001,4604.629999,3946.585001,6440.28,5755.078,5598.031999,5115.026999,5357.59886,5243.405001,4285.830001,4794.720001,5455.599,6744.09393,5280.434913,4149.410101,5740.673045,7907.273516,5489.147556,3919.891883,8205.740826,9254.807331,6174.809713,8378.687596,6545.392045,8197.573974,4538.839055,6333.872889
Jamaica,14.9839996,16.7049999,22.4269995,24.3539995,15.8269995,26.3230003,27.2850003,29.6820001,16.9810004,24.228,28.91593,28.1909991,26.3730004,24.5077825,29.1904905,15.3134398,24.6042409,22.7331535,20.7753657,24.8305172,15.4349302,16.0598548,14.9194512,15.053724,10.2486926,11.8739809,11.2239986,10.2324055,9.7515687,9.405321
Kenya,1969.338,1557.532,1384.291,1438.799,1358.411,1450.046,1901.584,1159.095,841.489,1114.07,1328.30814,1095.882,735.704,919.569,753.598,673.14,597.133,817.466,608.429,524.748,531.0926567,609.163192,802.8862824,814.5422481,798.7267892,712.0561288,727.0431516,709.6382353,753.0309147,835.8867766
Lao People's Democratic Republic,98.3329992,98.3329992,101.85,141.6669996,153,165.2329992,144.1669992,110.0829996,111.6879996,191.3359992,254.5989996,198.1189985,278.067,232.65,267.06666,236.8999992,119.8643382,251.6878422,258.1046117,263.8617763,287.8578314,420.9658948,359.7618969,399.6511097,369.726347,403.1699016,385.7797409,385.5876533,361.0216345,575.3368254
Liberia,22.411,0,0,0,0,0,0,0,3.244,15.209,3.583,7.227,5.775,6.604,0,0.78,0.446,2.3353334,1.73,9.12,7.2159996,7.8793162,2.8109667,3.5393333,1.3456667,3.5200001,2.955,11.0116667,7.7333333,0.5833333
Madagascar,863.0399999,587.658,736.406,627.783,435.621,585.1879998,718.0490001,480.233,796.116,464.383,216.232,87.257,145.329,118.95,127.034,96.016,178.72,99.4513715,196.1874116,39.6371367,73.5849035,143.9107205,78.9174707,166.1384486,137.8095917,59.3255179,75.7958404,57.5361834,6.4774326,4.0040167
Malawi,124.154,99.535,128.022,103.574,78.469,91.633,60.151,60.17,58.6,54.31,61.488,63.712,43.97,48.882,25.737,20.867,17.42,18.875,20.554,17.575,8.1198898,25.8532829,19.5299992,28.7297071,25.5353073,17.8592197,22.1486775,12.6223955,12.079999,15.6594366
Mexico,3683.104002,3530.820002,3332.041,3263.616001,2789.046,3626.491999,4633.497001,4502.424001,3399.026001,4357.625002,5303.690341,3333.165999,2644.659,2595.592998,2361.931322,1984.80298,2570.074943,2912.301726,2448.000806,2838.09645,2497.539985,2906.517574,3556.455805,3132.049713,2479.526809,2457.996501,2232.913073,2910.649964,2888.140482,2626.984856
Nepal,0,0,0,0.0083167,0,0.25,0.0833333,0.0666667,0.0333333,0,0.066666,0.066666,0.1166664,1.8589988,1.4566661,1.1433329,1.3865629,1.9198957,1.0365625,1.508308,1.0366255,3.7482843,1.4285702,1.2203518,0.8629222,2.0245748,2.0712779,0.9745111,1.8452526,1.2407212
Nicaragua,671.1839999,392.0529999,635.946,476.4660004,623.5139996,681.1789992,822.3559998,714.0030004,940.5839991,984.1939994,1366.6234,1364.591999,955.4019993,1013.237,1311.35,1002.543154,1445.303397,1259.346579,1625.110574,1373.99913,1711.816058,1467.709799,1987.302147,1660.549988,1900.637384,1753.158784,1963.467307,2448.63793,2300.035032,2954.389526
Nigeria,3.582,0.922,11.391,10.304,7.873,15.191,6.9240001,6.905,9.8969999,8.576,6.7439999,6.855,5.3099999,8.9789998,5.6191904,8.3579018,27.9514577,9.4129532,1.8876655,0.6424879,3.0441525,6.5539994,1.6620094,0.7212691,1.4323063,2.8628523,1.4005618,2.57984,3.0129175,2.1935393
Panama,131.654,124.2,125.4040001,129.286,76.486,180.533,138.598,124.107,145.123,117.981,72.034,56.933,82.697,86.101,99.145,90.3745078,106.9430052,108.8952921,113.9523965,58.994871,65.3353264,53.0888441,50.5928326,48.5491876,51.0247939,49.7142205,55.585032,50.1411407,46.8935146,50.691857
Papua New Guinea,1050.719,788.3529999,917.1739996,1054.634,1156.837,1002.052,1090.076,1043.437,1348.968,1320.148,1043.15713,1095.411,1057.054,1147.168,1047.665012,1199.64071,848.8072127,908.7452539,1095.92137,1026.97283,929.3412071,1224.522669,924.9300992,810.93264,806.83394,711.4821,1133.180307,794.1003952,869.9459834,787.073434
