Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Luxembourg,,,,,,,,,,83.8508033,87.6100429,76.431712,80.4124879,98.8947901,95.103894,103.9231842,102.3902362,108.9509993,112.5850423,108.0439608,116.5904714,110.9619468,110.5209294,136.7835211,157.6771708,153.7745181,171.0033106,168.7664671,177.6898884,178.6462276
Malta,1.1010004,3.1290007,2.0429997,0.8410007,1.6210012,1.445845,0.1565903,0.6111935,3.5186419,0.2607967,0.3913898,0.3140627,0.7300568,0.0997595,0.0796067,0.023636,0.0619897,0.0103203,0.2717867,0.0942022,0.148886,1.399497,0.3010985,0.3113001,0.02215,0.9275,0.9015834,0.37963,0.4043817,0.2552333
Netherlands,585.3970074,633.1130082,648.0850059,425.2770066,677.6750103,616.9450076,574.5991092,557.0450076,901.1308044,1094.255405,1106.029096,1116.605585,1186.08378,1433.036967,1180.886318,1061.084098,1164.01719,1238.928349,980.8798078,1604.321239,1235.578478,1769.084068,1347.300029,1781.354918,2215.934674,2480.474608,2702.300678,3103.602077,3375.580281,3323.937204
Poland,100.473,6.8470007,136.8280026,125.7826335,100.4778114,134.0490125,168.6178517,287.0644599,328.4228966,418.3298839,530.7890714,496.9689141,442.367356,422.2287186,405.7086755,524.074821,660.5839238,709.3049264,779.2575446,1160.529048,1123.20208,1369.531383,1606.619033,1615.383914,2079.109043,2245.819647,1851.780153,1758.323962,1889.2677,1951.82807
Portugal,30.570001,34.080001,40.2600007,38.2700008,52.0510004,73.9890037,98.8646047,108.409903,95.7324036,99.0452032,123.0388035,115.8846041,113.7345045,109.596105,83.4084372,106.9793581,113.6669936,152.4383234,148.5629901,165.6401908,196.926812,210.1521703,227.7626014,212.3345735,226.8402279,232.1503205,261.9647428,250.4148128,266.7829802,288.5674381
Romania,,0.033,2.5250001,5.7600001,0.4,1.5670002,0.39,0.6760001,10.8369999,4.5496003,0.531,0.6550997,0.708886,0.346456,10.0774344,17.3006772,19.133793,16.1819989,19.3363489,36.51748,42.9804964,42.2846868,53.648914,80.2516295,45.6821853,29.9379998,61.2437462,51.2395188,54.3790637,56.9236973
Slovakia,,,,12.7810003,23.1379183,27.0927342,16.0764387,18.428847,17.4363096,19.9572949,22.6496119,33.2898919,24.7130028,17.4098317,14.8291286,14.3876785,66.2702538,151.9305507,269.5413735,245.651518,317.7813378,389.4734087,570.5537085,470.339261,420.7915406,643.1145409,680.3184822,570.5707707,611.9188511,546.5235979
Slovenia,,,7.3760004,4.6300007,7.0789989,8.0900001,10.8013881,9.9205884,12.273798,10.9717823,14.1088945,11.3339776,12.3437697,10.4618002,11.2202422,9.4098192,10.9711232,9.5957631,10.8871134,11.9657495,12.5203975,15.269472,35.9042747,73.5915989,81.4970653,84.1916495,130.2055807,211.8749783,332.0674932,415.4892241
Spain,264.5380003,268.2749995,286.6110013,168.4769998,237.2369985,397.1299996,595.0753047,779.4273074,700.2911044,638.993809,752.8379484,1236.603693,1166.079497,1365.21838,1437.061872,1453.029472,1460.859339,1520.231471,1441.306179,1444.684933,1802.541567,1672.176582,1658.794792,1635.95323,1906.129581,1907.702671,2125.084186,2274.966609,2585.403334,2775.827956
Sweden,77.3320034,113.5300056,137.5900065,138.2070057,223.9190074,216.600008,224.5805079,232.1004111,191.5121082,176.4555049,171.0784059,180.7324063,238.956609,256.6337073,261.7204074,523.1711219,505.4466119,525.3628192,531.6716754,525.7616438,505.2307526,521.7130446,520.4047185,534.2394246,546.9459939,497.9299982,551.5605991,580.5817925,579.0364298,578.9060869
Japan,19.9019995,34.4949989,27.1839993,34.2839988,27.1189994,7.0789985,6.1659999,19.2460005,9.0199998,7.5829994,32.3489958,77.6029905,98.7619881,136.8009824,86.9349893,62.8830447,46.6990836,87.4747052,178.6806266,125.9649638,142.9489902,80.2020821,71.046626,91.5891806,110.8675715,116.6093003,110.8726887,112.6107069,124.0694889,157.8228342
Norway,8.3759998,3.5619996,2.6810001,2.5990004,6.0180003,4.9580003,6.5970003,8.8689998,4.4030003,4.8040003,5.037,6.3080001,5.7260001,7.6776223,7.1681782,9.6432302,9.8426284,8.4717057,7.3310809,9.1673965,13.6535625,9.790366,12.076486,18.4237839,14.2205074,12.1972117,17.6035049,19.4660515,9.1736828,15.2580558
Russian Federation,,,4.701,0.215,13.524,77.8520012,64.8500002,327.8282715,84.8459974,16.3667325,27.3560983,24.7714018,52.5844247,93.3105608,128.813214,151.0455203,244.3288289,340.4610644,420.6096164,440.2893339,454.9771303,463.4925384,478.5803226,762.4492167,725.9496009,864.3499822,794.3551758,955.5383097,1054.037789,1096.541637
Switzerland,166.028998,151.4020009,155.3599985,166.086996,196.0289979,174.7029984,242.5340017,280.3420031,254.308001,302.2209998,312.5529689,381.4474636,441.7189588,423.4399618,512.2790575,567.3998788,621.3979093,842.4508782,882.569776,1065.789133,1313.03103,1414.173171,1424.958032,1546.596379,1615.528094,1640.987895,1747.90763,1861.182035,1945.574441,2113.855226
Tunisia,,,,,,,,,,0.342883,0.7069982,1.219646,1.3928953,3.4864905,0.9340645,0.1776707,9.0594465,0.0223522,0.1267905,0.0717078,2.6160817,13.407787,17.7874243,9.5690913,0.1757472,0.8171221,0.1094253,0.2386979,0.1661725,0.1487495
United Kingdom,482.210998,485.1740014,570.1640013,629.2929999,817.1220002,632.916997,552.3925986,510.5714966,536.5877016,645.4906997,652.1182302,771.0022315,777.5781041,759.2224091,838.1844855,885.219714,948.8832496,988.8831955,900.042811,892.2624284,1193.113837,1264.380419,1199.597024,1380.325083,1389.936284,1301.724771,1568.285551,1662.208891,1888.909337,1780.108327
United States of America,825.1680085,1010.450012,1376.580016,1719.584016,2572.141023,1840.986028,2048.532329,2446.29763,2446.60244,2168.004645,2055.275637,2056.487343,2192.403122,2797.518562,2626.190609,2451.971821,2721.274696,2707.289537,2860.749334,2801.705836,3190.871125,3728.167373,3383.74086,3247.904962,3360.741097,2958.179383,3174.963717,2929.672218,2902.389651,2842.417761
