Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019/20
Netherlands,3128.150018,3120.774019,3204.95202,2803.72901,2799.881022,2910.366023,3083.957321,2923.772828,2862.048324,2565.504322,2965.800776,2793.683874,2760.001665,3175.538856,3159.026952,2988.015066,3292.805249,3531.019416,2304.443468,2502.132848,2582.660765,2678.334327,2729.760788,3406.794908,4016.022282,4176.235826,4781.450177,5067.74054,5520.437554,5354.023003,14.5428
Poland,435.0650014,249.8710028,1787.057029,1670.497511,1842.641218,1770.709109,1924.074059,2253.082066,2292.960514,2403.634921,2576.376763,2719.393991,2643.49622,2664.344788,2686.81612,2791.504395,2653.660453,2263.669777,2460.344751,3161.536735,3278.914098,3403.819311,3542.745725,3284.382631,3229.207779,3665.612068,3827.168954,3999.318599,4325.062331,4452.456931,268.209
Portugal,551.5890006,557.4690006,591.1740014,666.4470031,663.8620028,633.1680027,742.9592039,727.2904035,761.5868043,816.947305,811.4328957,843.3808957,838.0986973,833.9013876,838.3407515,831.216247,861.681076,911.2966055,885.0714718,886.7256047,1010.44204,1057.733955,1075.842247,1062.681612,1059.749497,1043.856962,1128.481418,1093.954625,1140.202501,1219.764763,55.1383
Romania,441.5340034,335.4500121,603.2080224,425.3500156,347.4469961,551.3430059,696.558,630.977005,595.3020037,511.423008,551.5569948,633.171995,738.2578924,755.3403496,828.316139,874.3634689,854.2594041,839.7552358,826.1034899,811.4623014,838.8552395,844.1848875,902.8725244,971.4770729,958.4832475,1011.643221,1133.698883,1154.573341,1174.142832,1165.061278,14100.1182
Slovakia,0,0,0,288.4769937,256.6931383,250.086974,260.5458129,252.8846355,258.9295347,268.9757881,285.9653534,317.0047673,300.008801,302.836118,298.0047839,307.6241833,347.1733412,508.2651246,610.5763029,458.3967628,654.8483112,777.2147213,771.6301858,798.425339,918.8925842,910.3847558,906.1834351,723.0503587,889.5169401,773.4997431,1471.7632
Slovenia,0,0,122.8749995,152.2179984,159.1390023,147.6190005,174.6336196,170.6471772,174.3027642,181.5247271,186.7730369,194.1829787,200.8092839,177.060697,196.1821037,190.8816912,186.6595548,204.5546386,205.0569858,210.2408723,217.5864811,222.9886267,220.8954987,257.9152003,268.9250769,271.7857211,322.870291,401.4388073,549.6602152,619.5004358,1929.1972
Spain,3053.251,2969.543,3414.290003,2813.088,3028.425,3145.866003,3515.277508,3776.560607,3717.653605,3986.023909,3768.201786,4057.629182,4026.115777,4135.617281,4173.474075,4356.082032,4538.359771,4874.748572,4863.767761,4811.284416,5034.403072,4820.907712,5094.02007,5136.943264,5405.557639,5428.56517,5660.146938,5414.229253,5673.000674,5983.51085,390.6014
Sweden,1766.674003,1717.087,1771.725002,1756.601007,1893.292008,1420.441999,1522.379299,1472.8415,1439.636799,1455.676699,1344.167892,1432.180393,1463.308613,1434.926893,1495.226597,1693.002865,1820.482168,1769.668476,1804.126365,1658.654317,1726.679836,1646.72617,1679.734595,1709.389099,2198.463063,2120.551337,2349.869496,2306.332163,2262.214124,2347.79682,660.6916
Japan,5329.750004,5510.469001,5325.615998,5691.120004,6217.151005,5489.087004,5994.113004,5921.415001,6026.965002,6547.484999,6908.008906,6996.197929,7307.456931,6922.572932,7253.914939,7407.833994,7631.552067,7086.223924,7060.032406,7089.701757,7407.080326,7543.855892,7024.85994,8381.262867,7656.98299,8063.398022,8026.154485,7646.636781,7539.981823,8039.677993,0
Norway,742.0400021,761.2149993,739.1450011,692.8290015,805.6280003,662.0980007,719.8916018,683.8884018,706.8768005,789.9776023,662.237694,716.2465941,697.9739946,690.6792804,716.106549,753.0594269,731.1092265,779.8934161,721.8867359,724.4068942,759.353092,794.9170203,735.4431612,781.4842885,743.1754294,799.7403054,799.1477071,800.8572992,743.340422,785.890388,7343.4329
Russian Federation,0,0,1381.858008,1794.946013,1725.730019,1728.144014,1127.972006,2185.288451,1731.917618,1368.077167,1890.452907,3056.870014,3504.015215,3772.287546,3205.391451,3335.803479,3465.140201,4317.898997,4053.18973,3553.16129,4155.256924,4217.682792,4174.744623,4410.193461,4746.949627,4710.038146,5232.881169,5467.782682,5287.541562,5916.632578,0.5
Switzerland,1170.508002,1130.292002,1101.251002,1059.878001,1099.406002,1016.829001,1111.627001,970.7720002,1111.835002,1138.926001,1171.482997,1254.537679,1216.744837,1321.869895,1236.295494,1641.049328,1502.620282,1823.108405,1977.688133,2101.000428,2317.60603,2497.914144,2477.957193,2666.750699,2643.106314,2747.858508,2816.026086,2903.618083,3086.018913,3228.382979,14.4733
Tunisia,100.999998,90.2010012,110.5830012,100.6240008,137.2670004,136.7830008,143.6500008,164.6170008,147.417,185.7474234,192.4495529,232.9997304,235.5659343,123.1478844,263.9106944,189.9735264,209.4635923,253.4181323,317.612091,288.7988684,304.0903304,428.7820528,438.9237008,438.9672683,460.0278903,458.7069518,465.5530213,546.1558124,532.966563,508.332,3605.7644
United Kingdom,2898.298008,2805.914005,3088.172009,3196.981011,3465.860012,2806.723015,2903.453114,2929.338015,3142.408017,2907.255011,3012.400824,3061.827384,2971.318204,3002.01823,3328.680385,3433.304189,4045.788635,3780.54812,3967.45769,4130.907627,4301.908141,4183.22988,4126.053681,4206.090925,4318.695591,4895.407288,5052.293459,4989.037899,5687.859741,5554.363879,178.3779
United States of America,21006.78601,19839.63001,22939.03301,19328.72101,16171.24502,17106.85701,19444.53312,20342.74582,21030.40113,22746.43234,23766.83936,21415.14115,21638.91404,22760.1962,23183.95353,23041.51586,23708.76228,24219.28164,24277.00434,23578.06495,24378.01304,26093.39476,26056.16257,27015.54016,27565.49762,27707.6637,28837.83784,29487.88646,28918.20705,30854.07265,9.5059
